,acousticness,artist_genre,artists,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,track_uri,valence,lastfm_genre
563,0.0485,"['dance pop', 'dirty south rap', 'gangster rap', 'hip hop', 'hip pop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'urban contemporary']","['Nelly', 'Jeremih']",0.812,173.045,0.479,0.0,8,0.102,-6.47,1,The Fix (feat. Jeremih),0.33,2015,0.0429,95.505,spotify:track:20IZ0jYjnFO0NxyiaRsJwb,0.0873,Hip-Hop
564,0.00157,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']","['Drake', 'Future']",0.79,217.707,0.6759999999999999,0.0,8,0.25,-6.432,0,Big Rings,0.66,2015,0.271,132.002,spotify:track:7jslhIiELQkgW9IHeYNOWE,0.314,Hip-Hop
565,0.0219,"['deep underground hip hop', 'hip hop', 'indie pop rap', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",['Dizzy Wright'],0.797,194.12,0.5539999999999999,0.0,3,0.21600000000000005,-8.029,1,Floyd Money Mayweather,0.48,2015,0.29600000000000004,130.971,spotify:track:2KQyyZPWwIB3HqB9eDdmsQ,0.547,Hip-Hop
566,0.0157,"['deep underground hip hop', 'hip hop', 'indie pop rap', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'underground hip hop']",['Dizzy Wright'],0.731,211.429,0.45,0.0,1,0.14400000000000002,-8.899,1,Work a Lil Harder,0.37,2016,0.269,146.252,spotify:track:54C6Uo4HCuMU64FqlqBjTK,0.499,Hip-Hop
567,0.0411,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']","['Meek Mill', 'Future']",0.6990000000000001,161.907,0.5429999999999999,1.26e-06,0,0.17800000000000002,-8.879,1,Jump Out The Face (feat. Future),0.62,2015,0.138,130.064,spotify:track:17AS0y6FnHdYImAPUydAJg,0.14,Hip-Hop
568,0.317,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']","['Meek Mill', 'Drake']",0.727,197.133,0.599,0.0,1,0.219,-6.941,1,R.I.C.O. (feat. Drake),0.76,2015,0.327,167.90900000000005,spotify:track:0Y0TOsE1q11qgbi7c5WZsG,0.386,Hip-Hop
569,0.127,[],['Chet Porter'],0.544,192.0,0.415,0.738,10,0.0899,-11.102,1,tbh ily,0.34,2016,0.0605,179.937,spotify:track:7EFRC3eYF8DTmjXZzc2AMU,0.375,chillout
570,0.249,"['aussietronica', 'bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'moombahton', 'vapor twitch']","['RL Grime', 'What So Not']",0.593,281.143,0.966,0.489,5,0.0936,-2.85,0,Tell Me,0.47,2014,0.0512,140.05100000000002,spotify:track:1JR7GbobhcAEiWEAhTgLtz,0.274,trap
571,0.46,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']","['Calvin Harris', 'Dillon Francis', 'Dizzee Rascal']",0.777,152.453,0.905,0.0,9,0.13,-2.229,1,Here 2 China,0.47,2012,0.23,89.962,spotify:track:0LA52DYNmflyXhzlADekfG,0.6729999999999999,electronic
572,0.0036,"['alternative dance', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'math pop', 'modern rock', 'new rave', 'shimmer pop']",['Foals'],0.536,292.547,0.73,0.6679999999999999,2,0.183,-7.606,0,Inhaler,0.59,2013,0.0427,97.206,spotify:track:3tRqWoZuQtOfG54Vd6nNdq,0.438,indie
573,0.12,['indie r&b'],"['Tom Misch', 'Loyle Carner']",0.852,212.044,0.664,0.00113,9,0.0737,-5.1789999999999985,1,Crazy Dream,0.63,2016,0.123,95.815,spotify:track:7LNI08YZRk67lg7KaPABfg,0.14800000000000002,Hip-Hop
574,0.14300000000000002,"['deep underground hip hop', 'trap soul']",['Rexx Life Raj'],0.755,207.334,0.647,0.0,6,0.199,-7.385,1,Shit n' Floss,0.43,2016,0.255,132.1,spotify:track:186z5RPxJZQZUlmOZWJs15,0.664,hiphop
575,0.907,"['deep underground hip hop', 'indie pop rap', 'underground hip hop']","['Pell', 'Stephen', 'Caleborate']",0.5529999999999999,206.415,0.616,0.0,2,0.0773,-6.08,1,"In The Morning (feat. Stephen, Caleborate)",0.49,2016,0.32,81.608,spotify:track:4K1J4jNVi02rBWxTtTa4U1,0.324,Hip-Hop
576,0.493,"['ambeat', 'jazz rap']",['Awon'],0.674,267.907,0.625,2.88e-06,9,0.16,-8.7,1,Take Time,0.44,2014,0.0942,171.99200000000005,spotify:track:2QqAVlaV6Y45ebsXxfS5i8,0.603,underground hip-hop
577,0.0305,"['funk', 'garage rock', 'indie rock', 'modern blues', 'modern rock', 'punk blues']",['The Arcs'],0.56,196.627,0.758,0.0043,0,0.28300000000000003,-9.448,1,My Mind,0.45,2015,0.0499,89.273,spotify:track:2iAPm2eByy8mDpiKHLfDFW,0.68,blues rock
578,0.398,"['funk', 'garage rock', 'indie rock', 'modern blues', 'modern rock', 'punk blues']",['The Arcs'],0.5539999999999999,199.759,0.403,0.628,9,0.118,-12.476,1,Young,0.35,2015,0.0729,151.97299999999996,spotify:track:28N3vfbAdbx11Yzc4PDvnN,0.322,blues rock
579,0.0409,"['funk', 'garage rock', 'indie rock', 'modern blues', 'modern rock', 'punk blues']",['The Arcs'],0.4370000000000001,199.16,0.6890000000000001,0.00824,11,0.147,-6.002999999999999,0,Stay In My Corner,0.54,2015,0.0343,143.451,spotify:track:3zobfMEipF81bJfPVp1h09,0.467,blues rock
580,0.278,"['alternative dance', 'alternative rock', 'blues-rock', 'dance-punk', 'garage rock', 'indie rock', 'indietronica', 'modern rock', 'new rave', 'punk blues', 'synthpop']",['The Kills'],0.637,247.794,0.6859999999999999,0.00702,9,0.0576,-8.03,1,Doing It To Death,0.03,2016,0.0568,132.99200000000002,spotify:track:2TIkFs5pxXInJ2galj2rBx,0.652,Garage Rock
581,0.377,"['house', 'pop', 'tropical house']","['Disclosure', 'ELIZA', 'Flume']",0.601,282.813,0.393,0.0002,10,0.132,-6.879,0,You & Me - Flume Remix,0.69,2013,0.0253,75.031,spotify:track:1snNAXmmPXCn0dkF9DaPWw,0.27,electronic
582,0.111,"['house', 'pop', 'tropical house']","['Disclosure', 'Sam Smith']",0.615,196.817,0.7809999999999999,0.0,5,0.373,-4.838,0,Omen - Radio Edit,0.63,2015,0.203,105.967,spotify:track:78EQ5LZGgviMU9k0zrqv1r,0.687,electronic
583,0.0652,"['aussietronica', 'bass trap', 'brostep', 'edm', 'electro house', 'electronic trap', 'moombahton', 'vapor twitch']","['RL Grime', 'Big Sean']",0.7070000000000001,252.561,0.8190000000000001,0.0,1,0.13699999999999998,-4.205,0,Kingpin (feat. Big Sean),0.55,2014,0.0712,116.044,spotify:track:39YhZrpPDbRM2qx9vfvUpn,0.358,trap
584,0.00519,"['big beat', 'drum and bass', 'electronic', 'house', 'jump up', 'jungle', 'liquid funk', 'neurofunk', 'uk garage']","['High Contrast', 'Tiësto', 'Underworld']",0.403,357.626,0.942,0.32299999999999995,7,0.25,-4.58,1,The First Note Is Silent,0.31,2012,0.0434,172.989,spotify:track:3yrtWwcYr0RHKwvo13DDib,0.183,Drum and bass
585,0.0139,"['acid house', 'alternative dance', 'big beat', 'electronic', 'madchester', 'new rave', 'synthpop', 'trip hop']",['Underworld'],0.635,512.027,0.919,0.938,7,0.0671,-8.002,1,Cowgirl,0.26,2014,0.037000000000000005,126.952,spotify:track:39KHNzItGvLam6GG8krYbI,0.16899999999999998,electronic
586,0.214,"['acid house', 'alternative dance', 'big beat', 'electronic', 'madchester', 'new rave', 'synthpop', 'trip hop']",['Underworld'],0.643,417.693,0.5710000000000001,0.852,5,0.128,-11.012,0,Jumbo,0.0,1999,0.0391,140.009,spotify:track:2NWNuLx5Q5JZhluaB07eam,0.8590000000000001,electronic
587,0.00246,"['acid house', 'alternative dance', 'big beat', 'electronic', 'madchester', 'new rave', 'synthpop', 'trip hop']",['Underworld'],0.6679999999999999,432.933,0.62,0.362,5,0.109,-12.233,1,If Rah,0.29,2016,0.0353,104.999,spotify:track:15j4iuXi1OZfSBKmaVTeN7,0.261,electronic
588,0.0319,"['alternative dance', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'math pop', 'modern rock', 'new rave', 'shimmer pop']",['Foals'],0.639,240.533,0.7440000000000001,0.000458,6,0.466,-8.377,0,My Number,0.74,2013,0.0368,128.047,spotify:track:4c9WmjVlQMr0s1IjbYO52Z,0.825,indie
589,0.0186,"['alternative dance', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'math pop', 'modern rock', 'new rave', 'shimmer pop']",['Foals'],0.659,261.133,0.792,0.0405,6,0.102,-7.101,0,Birch Tree,0.65,2015,0.0301,108.009,spotify:track:5mOPeaSXywGZX3mDflbDsq,0.466,indie
590,0.00262,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']","['Calvin Harris', 'Ayah Marar']",0.725,247.933,0.8740000000000001,0.000412,0,0.0958,-3.715,0,Thinking About You,0.68,2012,0.0396,127.985,spotify:track:1KtD0xaLAikgIt5tPbteZQ,0.748,electronic
591,0.0389,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house']","['Calvin Harris', 'Disciples']",0.738,212.64,0.868,0.00171,11,0.388,-4.373,0,How Deep Is Your Love,0.77,2015,0.0731,122.003,spotify:track:22mek4IiqubGD9ctzxc69s,0.336,electronic
592,0.00129,"['alternative dance', 'dance-punk', 'garage rock', 'indie pop', 'indie rock', 'indietronica', 'math pop', 'modern rock', 'new rave', 'shimmer pop']",['Foals'],0.495,261.173,0.8490000000000001,0.79,2,0.146,-6.761,0,Snake Oil,0.52,2015,0.0358,141.994,spotify:track:1fn1RZO7oiEmLm1MIGLb27,0.541,indie
593,0.0215,"['folk-pop', 'icelandic pop', 'indie folk', 'indie pop', 'metropopolis', 'modern rock', 'stomp and holler']",['Of Monsters and Men'],0.46,266.6,0.7859999999999999,0.0,1,0.133,-5.238,1,Little Talks,0.71,2012,0.038,103.192,spotify:track:3a2tuvXCHbW5nuUckuHkKT,0.408,indie
594,0.0513,"['folk-pop', 'icelandic pop', 'indie folk', 'indie pop', 'metropopolis', 'modern rock', 'stomp and holler']",['Of Monsters and Men'],0.395,211.453,0.8959999999999999,0.00396,1,0.14,-4.262,0,Mountain Sound,0.66,2012,0.0351,101.867,spotify:track:60ZGteAEtPCnGE6zevgUcd,0.35,indie
595,0.125,['indie pop rap'],"['G-Eazy', 'Remo']",0.7120000000000001,236.48,0.562,0.0,10,0.136,-6.007999999999999,1,I Mean It,0.77,2014,0.129,140.0,spotify:track:6jmTHeoWvBaSrwWttr8Xvu,0.142,Hip-Hop
596,0.0705,['indie pop rap'],"['G-Eazy', 'Marc E. Bassy']",0.586,222.467,0.525,0.0,0,0.0729,-8.968,1,Some Kind Of Drug,0.75,2015,0.498,126.51,spotify:track:1Bqxj0aH5KewYHKUg1IdrF,0.491,Hip-Hop
597,0.0036,['indie pop rap'],['G-Eazy'],0.607,180.333,0.7829999999999999,0.0,9,0.21600000000000005,-6.891,1,Random,0.67,2015,0.139,87.02600000000002,spotify:track:422lAAWQO9TqL1LxIPdhOn,0.182,Hip-Hop
598,0.00268,['indie pop rap'],"['G-Eazy', 'Big Sean']",0.597,199.52,0.7240000000000001,0.0,2,0.111,-7.7639999999999985,1,One Of Them,0.62,2015,0.0487,110.012,spotify:track:4wckW1OjAM2z6elKQdqUpi,0.325,Hip-Hop
599,0.228,['indie pop rap'],"['G-Eazy', 'Quin']",0.725,179.347,0.489,7.43e-06,0,0.0854,-12.565,1,Think About You,0.6,2015,0.256,95.151,spotify:track:76cdpJtbucm5LkjJ073uwP,0.362,Hip-Hop
600,0.0417,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']","['Rae Sremmurd', 'Nicki Minaj', 'Young Thug']",0.8540000000000001,260.453,0.645,0.000115,6,0.103,-8.021,0,Throw Sum Mo,0.66,2015,0.141,142.053,spotify:track:5uqphUYsR45kPYplrYSAQh,0.569,Hip-Hop
601,0.00412,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']",['Rae Sremmurd'],0.925,231.067,0.519,0.0,8,0.0971,-6.055,1,No Flex Zone,0.61,2015,0.104,120.08,spotify:track:2L8cFPItBljPNJgPjTnuIf,0.247,Hip-Hop
602,0.07,"['acid jazz', 'downtempo', 'electro swing', 'electronic', 'nu jazz', 'trip hop']",['St Germain'],0.621,416.566,0.807,0.16899999999999998,8,0.0737,-8.963,0,Rose Rouge,0.57,2000,0.0363,118.028,spotify:track:1divptdjcWXvF1aflfTQnw,0.557,chillout
603,0.501,"['acid jazz', 'downtempo', 'electro swing', 'electronic', 'nu jazz', 'trip hop']",['St Germain'],0.772,380.498,0.451,0.7,0,0.213,-12.242,1,Sure Thing,0.59,2000,0.0551,96.086,spotify:track:1msXkHv84LKikJGKcfdGBu,0.5579999999999999,chillout
604,0.17,"['acid jazz', 'downtempo', 'electro swing', 'electronic', 'nu jazz', 'trip hop']",['St Germain'],0.7659999999999999,507.607,0.888,0.0416,5,0.277,-7.732,0,So Flute,0.53,2000,0.0362,122.015,spotify:track:1XAzFYJR94m9T4AgshhO99,0.732,chillout
605,0.339,"['hip hop', 'pop rap', 'rap', 'trap music', 'underground hip hop']",['Joey Bada$$'],0.5479999999999999,194.739,0.8290000000000001,0.0,1,0.537,-4.103,0,Paper Trail$,0.62,2015,0.285,93.62,spotify:track:5jNrszQHRIVKmS9Ptb63pe,0.452,Hip-Hop
606,0.0782,"['edm', 'tropical house']","['ZHU', 'Lido']",0.7340000000000001,264.204,0.442,0.00365,2,0.0686,-12.994000000000002,0,Faded - Lido Remix,0.01,2014,0.402,127.945,spotify:track:4uQYpEv7Ily0PKcg3xp6Cl,0.0906,House
607,0.00011,"['electronic trap', 'norwegian hip hop', 'vapor twitch']",['Lido'],0.628,287.821,0.6709999999999999,0.0984,4,0.0305,-7.0779999999999985,1,Money,0.38,2014,0.0381,126.097,spotify:track:5bDzaw7VWVx00J3Va2fS6L,0.31,seen live
608,0.00574,"['electronic trap', 'norwegian hip hop', 'vapor twitch']","['Lido', 'Muri']",0.618,288.577,0.65,3.18e-06,5,0.0547,-7.042999999999998,0,Lost (feat. Muri),0.32,2014,0.0572,128.088,spotify:track:6XskPGHqVLT8GP1qk3H1Zh,0.16899999999999998,seen live
609,0.0008210000000000001,"['electronic trap', 'norwegian hip hop', 'vapor twitch']",['Lido'],0.621,255.83,0.621,0.0395,8,0.855,-7.612999999999999,1,I Love You,0.35,2014,0.0885,160.04,spotify:track:6bPgZiRqrNIk1Mwjjc8ugU,0.189,seen live
610,0.00193,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music']","['Mustard', 'Yellow Claw', 'Tyga', 'Ty Dolla $ign']",0.745,168.641,0.8690000000000001,0.0,6,0.0799,-4.375,1,In My Room (feat. Ty Dolla $ign & Tyga),0.66,2015,0.0444,104.015,spotify:track:4lqEFIB9YZl8BwR99L5H3b,0.8140000000000001,hip hop
611,0.00461,"['indie pop', 'indie poptimism', 'indie r&b', 'modern rock', 'pop']",['BØRNS'],0.609,218.107,0.804,0.00143,6,0.231,-7.596,0,Electric Love,0.73,2015,0.0529,120.049,spotify:track:2GiJYvgVaD2HtM8GqD9EgQ,0.5770000000000001,pop
612,0.00695,"['indie pop', 'indie poptimism', 'indie r&b', 'modern rock', 'pop']",['BØRNS'],0.5820000000000001,174.693,0.584,0.000118,6,0.0991,-5.496,1,"10,000 Emerald Pools",0.65,2015,0.039,139.987,spotify:track:2pA4ip3VIEVcIa3qE02oAX,0.589,pop
