,acousticness,artist_genre,artists,danceability,duration,energy,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo,track_uri,valence,lastfm_genre
273,0.008870000000000001,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.741,239.213,0.622,0.0005009999999999999,8,0.15,-5.877999999999999,1,Kill the Lights,0.48,2009,0.0404,122.013,spotify:track:263w5yLLnexUUOMc5Py9m5,0.625,pop
274,0.0483,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.831,172.4,0.489,1.33e-05,0,0.07400000000000001,-6.475,0,Shattered Glass,0.47,2009,0.0533,120.054,spotify:track:3sJx8qerYrs92oqVAa9S0Z,0.376,pop
275,0.0192,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.7170000000000001,216.52,0.5870000000000001,0.0,4,0.0523,-7.296,0,If U Seek Amy,0.64,2009,0.0339,129.954,spotify:track:2hdy9Wt9qp7M7d0U3ossu2,0.544,pop
276,0.205,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.629,261.0,0.726,0.00506,0,0.103,-9.679,0,Unusual You,0.47,2009,0.103,123.974,spotify:track:5yFDS6dDzjjmGFVaYcwPAB,0.473,pop
277,0.0014,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.643,246.493,0.884,3.07e-05,10,0.122,-6.934,0,Mannequin,0.42,2009,0.0511,129.998,spotify:track:3buxlp1m5TLONPem13GSpt,0.627,pop
278,0.0074,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.863,167.56,0.586,0.000646,7,0.103,-6.5120000000000005,1,Lace and Leather,0.44,2009,0.0617,111.968,spotify:track:77mOEEC4yLh8U7zCa0lInh,0.823,pop
279,0.25,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.648,228.613,0.664,1.18e-06,4,0.33,-6.617000000000001,0,Radar,0.0,2008,0.16399999999999998,127.917,spotify:track:7hYAqyc9HEhk0RV9hCSqBt,0.484,pop
280,0.25,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.7879999999999999,251.24,0.8440000000000001,0.000678,2,0.0723,-3.131,1,Gimme More,0.05,2007,0.0334,113.324,spotify:track:7CxhdANGZEPZ3BoTjFMKP3,0.382,pop
281,0.0902,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.769,212.107,0.638,0.0,11,0.0857,-5.0539999999999985,1,Piece of Me,0.04,2007,0.21600000000000005,115.007,spotify:track:6jaHYV4no6PAbyo89bybrx,0.782,pop
282,0.293,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.642,229.213,0.722,0.0,4,0.337,-4.845,0,Radar,0.0,2007,0.16699999999999998,127.959,spotify:track:4KJKowuprsTpgK8UBUoUEG,0.513,pop
283,0.6890000000000001,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.7120000000000001,196.053,0.911,8.02e-06,5,0.107,-3.866,0,Break the Ice,0.01,2007,0.0445,117.533,spotify:track:0Wz2HxucvutQe7YorHBvnN,0.85,pop
284,0.081,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.636,292.693,0.792,3.81e-05,7,0.099,-6.154,1,Heaven On Earth,0.0,2007,0.052000000000000005,126.053,spotify:track:7pdY6ANhojuqpmbDbzfvQ0,0.445,pop
285,0.0642,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.7340000000000001,285.08,0.856,0.000475,6,0.0442,-4.592,0,Get Naked (I Got a Plan),0.0,2007,0.056,115.027,spotify:track:0GXfdEIFO4eQnaMUy64bDs,0.67,pop
286,0.16899999999999998,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.8320000000000001,175.467,0.797,1.29e-05,11,0.0673,-4.1930000000000005,0,Freakshow,0.0,2007,0.0943,131.969,spotify:track:5uYA2AOox9DT76GUk6CGvo,0.951,pop
287,0.0247,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.83,196.707,0.742,0.0,7,0.0488,-3.783,1,Hot as Ice,0.0,2007,0.036000000000000004,127.933,spotify:track:3M2mItwg42NR0fcq4LVTyc,0.951,pop
288,0.18600000000000005,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.8240000000000001,208.133,0.687,0.0,11,0.102,-4.44,0,Ooh Ooh Baby,0.0,2007,0.0371,127.998,spotify:track:677hNjoxG4V0nNCtbGF6Sg,0.7170000000000001,pop
289,0.00134,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']","['Britney Spears', 'Junkie XL']",0.5489999999999999,267.215,0.897,0.00149,8,0.264,-5.779,1,And Then We Kiss - Junkie XL Remix,0.34,2005,0.0358,129.982,spotify:track:0u64i9wKMwoiqWiLTGddP9,0.378,pop
290,0.0381,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.682,198.6,0.894,0.0,0,0.416,-1.73,0,Overprotected - Radio Edit,0.6,2001,0.0727,95.992,spotify:track:5p0KCAuu5nrHpTuAIhHdLw,0.845,pop
291,0.0245,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.9,206.96,0.693,0.00278,11,0.04,-3.989,0,Boys,0.51,2001,0.0751,107.021,spotify:track:4rIz1mOBHqIo6Mk7DzuoPs,0.8640000000000001,pop
292,0.0136,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.7170000000000001,196.107,0.877,0.000814,0,0.0616,-4.266,1,Anticipating,0.49,2001,0.0375,111.0,spotify:track:6dKYAtGciLRm8uOD1LiSVf,0.794,pop
293,0.024,"['dance pop', 'pop', 'post-teen pop', 'urban contemporary']",['Britney Spears'],0.7559999999999999,185.693,0.85,0.0034,1,0.0538,-2.468,0,Bombastic Love,0.44,2001,0.033,100.251,spotify:track:5FFFvpCMxIWtTF7DmUBBIs,0.655,pop
